"id_usuario","media_passos_h"
8877689391,692
8053475328,621
1503960366,535
2022484408,505
6962181067,503
7007744171,476
4388161847,435
2347167796,427
5577150313,374
3977333714,351
8378563200,351
4702921684,349
2873212765,335
5553957443,327
7086361926,327
1644430081,321
4319703577,310
6117666160,306
3372868164,275
4558609924,256
6290855005,235
1624580081,216
2026352035,211
4445114986,201
8583815059,171
6775888955,161
2320127002,135
1927972279,134
8253242879,129
4020332650,125
4057192912,90
1844505072,89
8792009665,73
2891001357,30
6391747486,18
