"id_usuario","media_minutos_sono","media_minutos_cama","media_hora_sono","media_hora_cama","media_passos_dia","media_calorias_dia","media_minu_ativo_dia","media_minu_sedentario_dia"
1844505072,652,961,11,16,2876,1585,0,1159
2026352035,506,538,8,9,4960,1489,0,681
4319703577,477,502,8,8,7423,2026,4,748
5553957443,463,506,8,8,8541,1855,23,651
6117666160,479,510,8,8,7363,2219,1,814
7086361926,453,466,8,8,8460,2458,38,861
1927972279,417,438,7,7,1269,2195,1,1216
2347167796,447,491,7,8,9647,2033,13,686
4388161847,403,426,7,7,8596,2830,18,949
4702921684,421,442,7,7,8367,2919,4,753
5577150313,432,461,7,8,8386,3344,86,731
6962181067,448,466,7,8,10680,2015,27,645
8378563200,443,483,7,8,8555,3414,58,707
8792009665,436,454,7,8,2217,1995,1,1012
1503960366,360,383,6,6,11936,1809,38,834
4020332650,349,380,6,6,4050,2736,5,1159
4445114986,385,417,6,7,4632,2161,6,840
6775888955,350,369,6,6,3301,2284,13,1227
1644430081,294,346,5,6,7781,2838,11,1130
3977333714,294,461,5,8,10322,1481,17,708
8053475328,297,302,5,5,14785,2932,85,1139
4558609924,128,140,2,2,7155,1977,9,1091
2320127002,61,69,1,1,4276,1671,1,1228
7007744171,68,72,1,1,11619,2570,35,1038
