"id_usuario","media_passos_dia","media_calorias_dia","media_minu_ativo_dia","media_minu_sedentario_dia","perfil_usuario"
8877689391,16424,3429,66,1094,"Muito ativo"
8053475328,14785,2932,85,1139,"Muito ativo"
1503960366,11936,1809,38,834,"Muito ativo"
7007744171,11619,2570,35,1038,"Muito ativo"
2022484408,11595,2500,37,1098,"Muito ativo"
6962181067,10680,2015,27,645,"Muito ativo"
3977333714,10322,1481,17,708,"Muito ativo"
2347167796,9647,2033,13,686,"Moderadamente ativo"
4388161847,8596,2830,18,949,"Moderadamente ativo"
8378563200,8555,3414,58,707,"Moderadamente ativo"
5553957443,8541,1855,23,651,"Moderadamente ativo"
7086361926,8460,2458,38,861,"Moderadamente ativo"
5577150313,8386,3344,86,731,"Moderadamente ativo"
4702921684,8367,2919,4,753,"Moderadamente ativo"
1644430081,7781,2838,11,1130,"Moderadamente ativo"
4319703577,7423,2026,4,748,"Pouco ativo"
6117666160,7363,2219,1,814,"Pouco ativo"
2873212765,7299,1855,12,1108,"Pouco ativo"
4558609924,7155,1977,9,1091,"Pouco ativo"
3372868164,6617,1909,10,1080,"Pouco ativo"
8583815059,6347,2662,8,1266,"Pouco ativo"
1624580081,5167,1434,6,1266,"Pouco ativo"
2026352035,4960,1489,0,681,"Sedentário"
8253242879,4898,1662,15,1313,"Sedentário"
4445114986,4632,2161,6,840,"Sedentário"
6290855005,4616,2488,4,1218,"Sedentário"
2320127002,4276,1671,1,1228,"Sedentário"
4020332650,4050,2736,5,1159,"Sedentário"
6775888955,3301,2284,13,1227,"Sedentário"
1844505072,2876,1585,0,1159,"Sedentário"
8792009665,2217,1995,1,1012,"Sedentário"
4057192912,2104,1911,1,1342,"Sedentário"
6391747486,1337,1763,5,1262,"Sedentário"
1927972279,1269,2195,1,1216,"Sedentário"
2891001357,774,2273,0,1100,"Sedentário"
