"id_usuario","total_passos"
8877689391,706246
8053475328,620950
1503960366,596789
2022484408,498589
6962181067,480595
7007744171,441533
3977333714,433504
4702921684,384885
8378563200,367872
5553957443,367247
7086361926,363772
5577150313,343823
4388161847,335232
4319703577,319181
2347167796,318355
2873212765,313868
1644430081,311237
4558609924,307662
6117666160,279794
1624580081,258360
4020332650,255135
8583815059,247518
2026352035,213286
4445114986,213089
3372868164,198508
2320127002,183884
6290855005,180018
8253242879,151840
1844505072,123669
6775888955,115543
8792009665,90897
4057192912,75743
1927972279,54570
6391747486,12032
2891001357,6189
